MSSV,ho va ten,lop,gioi tinh,ngay sinh,CCCD,
22120181,Nguyen Duy Lam,22CTT4,nam,7/4/2004,725679180,
22120183,Nguyen Dang Minh Lan,22CTT4,nam,11/29/2004,382392376,
22120186,Huynh Tan Loc,22CTT4,nam,1/2/2004,751756082,
22120188,Dinh Viet Loi,22CTT4,nam,9/6/2004,514572327,
22120190,Nguyen Tran Loi,22CTT4,nam,3/18/2004,664346915,
22120192,Nguyen Dang Long,22CTT4,nam,6/28/2004,912277124,
22120196,Thong Luc,22CTT4,nam,6/27/2004,924941902,
22120197,Nguyen Vinh Luong,22CTT4,nam,10/27/2004,186725621,
22120201,Huynh Man ,22CTT4,nam,5/1/2004,638602472,
22120204,Nguyen Duc Manh,22CTT4,nam,5/19/2004,919366196,
22120209,huynh cong minh,22CTT4,nam,5/11/2004,595424801,
22120213,Doan Thi Minh Anh,22CTT4,nam,8/21/2004,336316566,
22120215,Nguyen Thi My,22CTT4,nam,5/18/2004,345833322,
22120217,Hoang Le Nam,22CTT4,nam,7/20/2004,294694795,
22120219,Mai Nhat Nam,22CTT4,nam,10/3/2004,143732398,
22120222,VO VAN NAM,22CTT4,nam,3/8/2004,965748292,
22120226,Le Trong Nghia,22CTT4,nam,4/25/2004,542619845,
22120233,Nguyen Thi Tu Ngoc ,22CTT4,nam,1/12/2004,227048938,
22120238,Nguyen Minh Nguyen,22CTT4,nam,7/28/2004,990329422,
22120241,Vo Hoang Nguyen,22CTT4,nam,2/29/2004,894778412,
22120242,Nguyen Minh Nha,22CTT4,nam,2/29/2004,131804813,
22120243,Nguyen Thanh Nha,22CTT4,nam,12/27/2004,475803073,
22120245,Ngo Nguyen Duy Nhan,22CTT4,nam,10/1/2004,808066159,
22120246,Nguyen Dinh Nhan,22CTT4,nam,2/23/2004,649836572,
22120248,Nguyen Trong Nhan,22CTT4,nam,10/25/2004,473641832,
22120252,Giang Duc Nhat,22CTT4,nam,7/17/2004,195963820,
22120254,Nguyen Thanh Nhat ,22CTT4,nam,1/30/2004,947489454,
22120258,Quach Quynh Nhu,22CTT4,nam,11/8/2004,871440780,
22120259,Nguyen Phat Kim Nhung,22CTT4,nam,8/4/2004,884709188,
22120260,TRAN KIM NHUP,22CTT4,nam,5/26/2004,789742324,
22120089,Do Xuan Hai,22CTT3,nam,5/3/2004,20222416,
22120090,Nguyen Van Hai,22CTT3,nam,6/15/2004,96963909,
22120091,Pham Khanh Han,22CTT3,nam,1/17/2004,82516928,
22120092,Tran Ha Le Han,22CTT3,nu,10/30/2004,63212856,
22120093,Le Thuy Vinh Hang,22CTT3,nam,4/29/2004,26908843,
22120094,Le Bao Hong Hanh,22CTT3,nam,4/9/2004,73524641,
22120095,Nguyen Xuan Hanh,22CTT3,nam,4/17/2004,80813525,
22120096,Kieu Tran Nhat Hao,22CTT3,nam,12/18/2004,20441067,
22120097,Nguyen Anh Hao,22CTT3,nam,5/21/2004,62328658,
22120098,Phan Anh Hao,22CTT3,nam,3/1/2004,53557367,
22120099,Tran Gia Hao,22CTT3,nam,10/3/2004,90639185,
22120100,Pham Tran Trung Hau,22CTT3,nam,12/2/2004,34213150,
22120101,Nguyen Van Hien,22CTT3,nam,9/1/2004,29361267,
22120102,Tran Xuan Minh Hien,22CTT3,nam,11/7/2004,14938099,
22120103,Vuong Nhat Hien,22CTT3,nam,12/12/2004,94775044,
22120104,Tang Duc Hiep,22CTT3,nam,6/23/2004,87739909,
22120105,Huynh Van Hieu,22CTT3,nam,3/30/2004,16863977,
22120106,Vo Phi Ho,22CTT3,nam,10/5/2004,74190627,
22120107,Phan Van Hoa,22CTT3,nam,1/18/2004,82936666,
22120108,Le Dai Hoa,22CTT3,nam,4/30/2004,31385807,
22120109,Pham Ngoc Hoa,22CTT3,nam,11/28/2004,13418342,
22120110,Dang Minh Hoang,22CTT3,nam,4/17/2004,42639079,
22120111,Ho Dinh Hoang,22CTT3,nam,10/3/2004,81935724,
22120112,Nguyen Ngoc Hoang,22CTT3,nam,1/21/2004,17974683,
22120113,Nguyen Viet Hoang,22CTT3,nam,1/24/2004,97900004,
22120114,Quach Te Hoang,22CTT3,nam,11/7/2004,15495339,
22120115,Do Thai Hoc,22CTT3,nam,7/28/2004,33684198,
22120116,Doan Gia Hue,22CTT3,nam,10/10/2004,16532628,
22120117,Tran Manh Hung,22CTT3,nam,1/24/2004,67090083,
22120118,Vong Sau Hung,22CTT3,nam,6/14/2004,52424641,
22120119,Bui Khanh Hung,22CTT3,nam,12/23/2004,74213705,
22120120,Dang Phuc Hung,22CTT3,nam,4/26/2004,11343407,
22120121,Le Viet Hung,22CTT3,nam,12/28/2004,76073414,
22120122,Nguyen Hung,22CTT3,nam,8/14/2004,35078387,
22120123,Nguyen Minh Hung,22CTT3,nam,8/25/2004,13035275,
22120124,Nguyen Minh Hung,22CTT3,nam,8/19/2004,91246158,
22120125,Nguyen Tan Hung,22CTT3,nam,2/27/2004,98454146,
22120126,Nguyen Tan Hung,22CTT3,nam,5/2/2004,49113681,
22120127,Vo Nguyen Gia Hung,22CTT3,nam,5/17/2004,58897088,
22120128,Bui Quoc Huy,22CTT3,nam,9/11/2004,87908428,
22120129,Dang Duc Huy,22CTT3,nam,8/16/2004,26150646,
22120130,Dang Trung Huy,22CTT3,nam,10/2/2004,45684276,
22120132,Duong Duc Huy,22CTT3,nam,5/22/2004,93938895,
22120133,Ha Duc Huy,22CTT3,nam,2/16/2004,30219051,
22120134,Hoang Tien Huy,22CTT3,nam,11/2/2004,44789720,
22120135,Le Quang Huy,22CTT3,nam,9/2/2004,96159935,
22120136,Mai Nhut Huy,22CTT3,nam,6/24/2004,84524384,
22120137,Nguyen Minh Huy,22CTT3,nam,9/21/2004,97080427,
22120138,Nguyen Thanh Huy,22CTT3,nam,6/9/2004,44809511,
22120139,Nguyen Van Huy,22CTT3,nam,8/19/2004,45295225,
22120001,BUI DUY AN,22CTT2,nam,10/7/2004,634639944,
22120002,DO QUANG AN,22CTT2,nam,2/15/2004,658563571,
22120003,LE NGUYEN THIEN AN,22CTT2,nu,5/1/2004,538059278,
22120004,LE THINH AN,22CTT2,nam,9/24/2004,720882455,
22120006,NGUYEN PHAN TRUONG AN,22CTT2,nam,4/17/2004,412782153,
22120007,NGUYEN TRUONG AN,22CTT2,nam,10/20/2004,713137424,
22120008,PHAM THIEN AN,22CTT2,nu,2/15/2004,932587189,
22120009,TRUONG VINH AN,22CTT2,nam,6/27/2004,678336719,
22120010,HOANG TUAN ANH,22CTT2,nam,8/29/2004,261189953,
22120011,LE TUAN ANH,22CTT2,nam,5/13/2004,895370433,
22120013,NGUYEN DUC ANH,22CTT2,nam,4/27/2004,604166361,
22120014,NGUYEN HOANG ANH,22CTT2,nam,1/31/2004,390367392,
22120015,NGUYEN TAN DUY ANH,22CTT2,nam,8/13/2004,951813662,
22120016,TRAN HUNG ANH,22CTT2,nam,9/7/2004,352336034,
22120017,TRUONG TIEN ANH,22CTT2,nam,12/7/2004,757625477,
22120018,VU DUY BAC,22CTT2,nam,8/31/2004,247101949,
22120019,BAN HUU BANG,22CTT2,nam,6/14/2004,816843744,
22120020,CAO GIA BAO,22CTT2,nam,7/22/2004,975981247,
22120021,HUYNH THAI BAO,22CTT2,nam,8/7/2004,934822941,
22120022,LE BAO,22CTT2,nam,9/7/2004,468370189,
22120023,LE NGUYEN GIA BAO,22CTT2,nam,3/31/2004,936107830,
22120024,NGUYEN HOANG BAO,22CTT2,nam,7/7/2004,289117425,
22120026,PHAN MINH GIA BAO,22CTT2,nam,10/17/2004,388426059,
